WeekNum,Year,CAP,Cases
8,2021,20134,149
8,2021,20135,137
8,2021,20136,264
8,2021,20137,145
8,2021,20138,103
8,2021,20139,137
8,2021,20141,171
8,2021,20142,163
8,2021,20143,205
8,2021,20144,252
8,2021,20145,218
8,2021,20146,184
8,2021,20147,236
8,2021,20148,157
8,2021,20149,195
8,2021,20151,154
8,2021,20152,159
8,2021,20153,140
8,2021,20154,119
8,2021,20155,115
8,2021,20156,122
8,2021,20157,240
8,2021,20158,124
8,2021,20159,126
8,2021,20161,231
8,2021,20162,208
9,2021,20121,246
9,2021,20122,229
9,2021,20123,294
9,2021,20124,212
9,2021,20125,225
9,2021,20126,246
9,2021,20127,177
9,2021,20128,246
9,2021,20129,236
9,2021,20131,165
9,2021,20132,169
9,2021,20133,226
9,2021,20134,242
9,2021,20135,228
9,2021,20136,231
9,2021,20137,159
9,2021,20138,185
9,2021,20139,178
9,2021,20141,178
9,2021,20142,200
9,2021,20143,175
9,2021,20144,211
9,2021,20145,273
9,2021,20146,265
9,2021,20147,298
9,2021,20148,162
9,2021,20149,216
9,2021,20151,185
9,2021,20152,180
9,2021,20153,219
9,2021,20154,264
9,2021,20155,223
9,2021,20156,217
9,2021,20157,181
9,2021,20158,141
9,2021,20159,180
9,2021,20161,199
9,2021,20162,178
10,2021,20121,287
10,2021,20122,265
10,2021,20123,309
10,2021,20124,239
10,2021,20125,241
10,2021,20126,276
10,2021,20127,213
10,2021,20128,243
10,2021,20129,204
10,2021,20131,194
10,2021,20132,232
10,2021,20133,275
10,2021,20134,250
10,2021,20135,183
10,2021,20136,194
10,2021,20137,169
10,2021,20138,209
10,2021,20139,204
10,2021,20141,270
10,2021,20142,225
10,2021,20143,163
10,2021,20144,266
10,2021,20145,174
10,2021,20146,232
10,2021,20147,347
10,2021,20148,207
10,2021,20149,213
10,2021,20151,282
10,2021,20152,253
10,2021,20153,231
10,2021,20154,228
10,2021,20155,171
10,2021,20156,237
10,2021,20157,218
10,2021,20158,132
10,2021,20159,205
10,2021,20161,216
10,2021,20162,267
11,2021,20121,314
11,2021,20122,265
11,2021,20123,218
11,2021,20124,207
11,2021,20125,170
11,2021,20126,215
11,2021,20127,167
11,2021,20128,273
11,2021,20129,226
11,2021,20131,186
11,2021,20132,225
11,2021,20133,226
11,2021,20134,193
11,2021,20135,220
11,2021,20136,188
11,2021,20137,209
11,2021,20138,204
11,2021,20139,179
11,2021,20141,214
11,2021,20142,253
11,2021,20143,172
11,2021,20144,230
11,2021,20145,184
11,2021,20146,240
11,2021,20147,245
11,2021,20148,165
11,2021,20149,136
11,2021,20151,231
11,2021,20152,323
11,2021,20153,257
11,2021,20154,163
11,2021,20155,220
11,2021,20156,185
11,2021,20157,205
11,2021,20158,209
11,2021,20159,207
11,2021,20161,239
11,2021,20162,157
12,2021,20121,264
12,2021,20122,225
12,2021,20123,185
12,2021,20124,188
12,2021,20125,232
12,2021,20126,206
